id,NetworkOut,DiskReadBytes,NetworkIn,DiskWriteBytes,CPUUtilization,Diskusage,ramusage
i-98d5eeb7,12.859375,0.0,9.708984375,0.0,0.016666666666666663,47,24.798387096774192
i-517afb87,25.8427734375,0.0,18.6689453125,0.0,0.03066666666666666,47,26.209677419354836
